rank,parish_code,criticality,index,elderly_share_pct,coverage_ratio,mean_daily_departures,total_population,pop_65plus
1,110607,Critical,0.7345,25.8,0.0,0.0,12183.0,3142.0
2,110608,Critical,0.6702,29.6,0.4123,1011.9,35362.0,10475.0
3,110601,Critical,0.6266,27.4,0.5182,0.0,14306.0,3919.0
4,110667,Critical,0.591,23.7,0.0,0.0,13956.0,3310.0
5,110621,Critical,0.5602,24.1,0.1801,0.0,35479.0,8541.0
6,110663,Critical,0.5481,23.1,0.0061,0.0,28475.0,6584.0
7,110658,High,0.4642,26.5,0.6057,874.2,16546.0,4391.0
8,110639,High,0.401,26.4,0.502,1904.7,34076.0,8996.0
9,110611,High,0.3738,23.7,0.4787,1025.5,18028.0,4269.0
10,110661,High,0.3533,23.1,0.7057,35.7,9658.0,2233.0
11,110656,Moderate,0.3175,20.0,0.1128,0.0,33302.0,6675.0
12,110665,Moderate,0.3008,20.2,0.2563,0.0,10051.0,2027.0
13,110666,Moderate,0.294,21.5,0.6578,0.0,11060.0,2379.0
14,110654,Moderate,0.2938,24.7,0.9875,505.2,33309.0,8237.0
15,110633,Moderate,0.2732,26.6,0.7962,2094.1,32179.0,8554.0
16,110655,Moderate,0.2626,23.9,0.9421,778.4,21160.0,5062.0
17,110602,Moderate,0.2538,24.1,0.6383,2216.3,13850.0,3341.0
18,110657,Moderate,0.2123,23.5,0.9873,1114.6,23261.0,5458.0
19,110618,Moderate,0.2063,20.9,0.7276,949.2,46334.0,9689.0
20,110660,Moderate,0.1999,20.7,0.7587,779.0,20267.0,4191.0
21,110659,Moderate,0.1653,24.5,0.8847,2472.5,22140.0,5430.0
22,110664,Low,0.0371,16.4,1.0,389.7,23645.0,3871.0
23,110610,Low,0.007,24.3,0.9778,4092.1,14787.0,3595.0
24,110662,Low,0.0,15.2,0.7708,2043.7,22382.0,3399.0
